2022-11-12 17:32:01 [main] INFO  RunnerClass:42 - Appium Server started
2022-11-12 17:32:09 [main] INFO  RunnerClass:16 - device is initialized
2022-11-12 17:32:10 [main] INFO  StartScreen:33 - NATIVE_APP
2022-11-12 17:32:12 [main] INFO  StartScreen:36 - NATIVE_APP
2022-11-12 17:32:14 [main] INFO  StartScreen:39 - NATIVE_APP
2022-11-12 17:32:18 [main] INFO  StartScreen:43 - NATIVE_APP
2022-11-12 17:32:19 [main] INFO  hide_showAnimationScreen:42 - NATIVE_APP
2022-11-12 17:32:21 [main] INFO  hide_showAnimationScreen:47 - NATIVE_APP
2022-11-12 17:32:23 [main] INFO  hide_showAnimationScreen:52 - NATIVE_APP
2022-11-12 17:32:24 [main] INFO  hide_showAnimationScreen:55 - NATIVE_APP
2022-11-12 17:32:26 [main] INFO  hide_showAnimationScreen:60 - NATIVE_APP
2022-11-12 17:32:27 [main] INFO  hide_showAnimationScreen:63 - NATIVE_APP
2022-11-12 17:32:28 [main] INFO  hide_showAnimationScreen:68 - NATIVE_APP
2022-11-12 17:32:30 [main] INFO  RunnerClass:24 - driver is stopped
2022-11-12 17:32:37 [main] INFO  RunnerClass:16 - device is initialized
2022-11-12 17:32:37 [main] INFO  StartScreen:33 - NATIVE_APP
2022-11-12 17:32:40 [main] INFO  StartScreen:36 - NATIVE_APP
2022-11-12 17:32:41 [main] INFO  StartScreen:39 - NATIVE_APP
2022-11-12 17:32:44 [main] INFO  StartScreen:43 - NATIVE_APP
2022-11-12 17:32:45 [main] INFO  hide_showAnimationScreen:42 - NATIVE_APP
2022-11-12 17:32:47 [main] INFO  ViewFlipScreen:29 - NATIVE_APP
2022-11-12 17:32:50 [main] INFO  ViewFlipScreen:35 - NATIVE_APP
2022-11-12 17:32:51 [main] INFO  RunnerClass:24 - driver is stopped
2022-11-12 17:32:58 [main] INFO  RunnerClass:16 - device is initialized
2022-11-12 17:32:58 [main] INFO  StartScreen:33 - NATIVE_APP
2022-11-12 17:33:00 [main] INFO  StartScreen:36 - NATIVE_APP
2022-11-12 17:33:02 [main] INFO  StartScreen:39 - NATIVE_APP
2022-11-12 17:33:05 [main] INFO  StartScreen:43 - NATIVE_APP
2022-11-12 17:33:06 [main] INFO  display_options:32 - NATIVE_APP
2022-11-12 17:33:08 [main] INFO  display_options:37 - NATIVE_APP
2022-11-12 17:33:10 [main] INFO  display_options:42 - NATIVE_APP
2022-11-12 17:33:12 [main] INFO  display_options:47 - NATIVE_APP
2022-11-12 17:33:14 [main] INFO  RunnerClass:24 - driver is stopped
2022-11-12 17:33:20 [main] INFO  RunnerClass:16 - device is initialized
2022-11-12 17:33:20 [main] INFO  StartScreen:33 - NATIVE_APP
2022-11-12 17:33:23 [main] INFO  StartScreen:36 - NATIVE_APP
2022-11-12 17:33:25 [main] INFO  StartScreen:39 - NATIVE_APP
2022-11-12 17:33:28 [main] INFO  StartScreen:43 - NATIVE_APP
2022-11-12 17:33:29 [main] INFO  display_options:32 - NATIVE_APP
2022-11-12 17:33:31 [main] INFO  SearchScreen:35 - NATIVE_APP
2022-11-12 17:33:33 [main] INFO  SearchScreen:40 - NATIVE_APP
2022-11-12 17:33:35 [main] INFO  SearchScreen:45 - NATIVE_APP
2022-11-12 17:33:36 [main] INFO  SearchScreen:48 - NATIVE_APP
2022-11-12 17:33:37 [main] INFO  SearchScreen:53 - NATIVE_APP
2022-11-12 17:33:38 [main] INFO  RunnerClass:24 - driver is stopped
2022-11-12 17:33:45 [main] INFO  RunnerClass:16 - device is initialized
2022-11-12 17:33:45 [main] INFO  StartScreen:33 - NATIVE_APP
2022-11-12 17:33:47 [main] INFO  StartScreen:36 - NATIVE_APP
2022-11-12 17:33:49 [main] INFO  StartScreen:39 - NATIVE_APP
2022-11-12 17:33:51 [main] INFO  StartScreen:43 - NATIVE_APP
2022-11-12 17:33:52 [main] INFO  display_options:32 - NATIVE_APP
2022-11-12 17:33:54 [main] INFO  SearchScreen:35 - NATIVE_APP
2022-11-12 17:33:56 [main] INFO  SearchScreen:40 - NATIVE_APP
2022-11-12 17:33:58 [main] INFO  SearchScreen:45 - NATIVE_APP
2022-11-12 17:33:59 [main] INFO  SearchScreen:48 - NATIVE_APP
2022-11-12 17:34:00 [main] INFO  SearchScreen:53 - NATIVE_APP
2022-11-12 17:34:02 [main] INFO  RunnerClass:24 - driver is stopped
2022-11-12 17:34:08 [main] INFO  RunnerClass:16 - device is initialized
2022-11-12 17:34:08 [main] INFO  StartScreen:33 - NATIVE_APP
2022-11-12 17:34:11 [main] INFO  StartScreen:36 - NATIVE_APP
2022-11-12 17:34:12 [main] INFO  StartScreen:39 - NATIVE_APP
